"county","state","pop","area","Nh","Sh","id"
"Washington","Alabama",15388,1080.21,67,110280.384250725,3
"Pickens","Alabama",19123,881.41,67,110280.384250725,14
"Jefferson","Alabama",674721,1111.28,67,110280.384250725,31
"Colbert","Alabama",57227,592.62,67,110280.384250725,51
"North Slope Borough","Alaska",11031,88824,30,56754.4364551678,77
"Yavapai","Arizona",236209,8128,15,1121343.86017717,99
"Pinal","Arizona",425264,5374,15,1121343.86017717,101
"Pima","Arizona",1043433,9189,15,1121343.86017717,102
"Navajo","Arizona",106717,9959,15,1121343.86017717,103
"La Paz","Arizona",16557,4513,15,1121343.86017717,106
"Graham","Arizona",38533,4641,15,1121343.86017717,108
"Cochise","Arizona",125447,6219,15,1121343.86017717,111
"Apache","Arizona",66021,11218,15,1121343.86017717,112
"Cross","Arkansas",16833,622.33,75,63779.7490597246,169
"Calhoun","Arkansas",4739,632.54,75,63779.7490597246,181
"Yuba","California",81575,630,58,1463646.58867819,188
"Yolo","California",216403,1012,58,1463646.58867819,189
"Tuolumne","California",55620,2236,58,1463646.58867819,191
"Tulare","California",473117,4824,58,1463646.58867819,192
"Trinity","California",16112,3179,58,1463646.58867819,193
"Tehama","California",65829,2951,58,1463646.58867819,194
"Sutter","California",99633,603,58,1463646.58867819,195
"Stanislaus","California",552878,1495,58,1463646.58867819,196
"Sonoma","California",488863,1576,58,1463646.58867819,197
"Siskiyou","California",44076,6287,58,1463646.58867819,199
"Sierra","California",3236,953,58,1463646.58867819,200
"Shasta","California",182155,3786,58,1463646.58867819,201
"Santa Cruz","California",270861,446,58,1463646.58867819,202
"Santa Clara","California",1936259,1291,58,1463646.58867819,203
"Santa Barbara","California",448229,2738,58,1463646.58867819,204
"San Mateo","California",764442,449,58,1463646.58867819,205
"San Luis Obispo","California",282424,3304,58,1463646.58867819,206
"San Joaquin","California",779233,1399,58,1463646.58867819,207
"San Francisco, City and County of","California",873965,47,58,1463646.58867819,208
"San Bernardino","California",2181654,20062,58,1463646.58867819,210
"Sacramento","California",1585055,966,58,1463646.58867819,212
"Riverside","California",2418185,7208,58,1463646.58867819,213
"Plumas","California",19790,2554,58,1463646.58867819,214
"Placer","California",404739,1407,58,1463646.58867819,215
"Orange","California",3186989,948,58,1463646.58867819,216
"Napa","California",138019,754,58,1463646.58867819,218
"Monterey","California",439035,3322,58,1463646.58867819,219
"Merced","California",281202,1929,58,1463646.58867819,222
"Mendocino","California",91601,3509,58,1463646.58867819,223
"Marin","California",262321,520,58,1463646.58867819,225
"Madera","California",156255,2138,58,1463646.58867819,226
"Los Angeles","California",10014009,4060,58,1463646.58867819,227
"Lassen","California",32730,4558,58,1463646.58867819,228
"Lake","California",68163,1258,58,1463646.58867819,229
"Kings","California",152486,1390,58,1463646.58867819,230
"Kern","California",909235,8142,58,1463646.58867819,231
"Fresno","California",1008654,5963,58,1463646.58867819,236
"El Dorado","California",191185,1712,58,1463646.58867819,237
