"county","state","pop.2020","pop.2010","area","Nh","Sh","nh","weights","pop_density","hisp_2020","hisp_2010","totalvotes","DEMOCRAT","REPUBLICAN","THIRD","pop_2020_65","pop_2010_65"
"Pickens","Alabama",19123,19749,881.41,67,110280.384250725,3,22.3333333333333,21.6959190388128,1061,317,9668,4022,5594,52,3927,3355
"Jefferson","Alabama",674721,658230,1111.28,67,110280.384250725,3,22.3333333333333,607.156612194946,26824,25332,325848,181688,138843,5317,109511,86554
"Colbert","Alabama",57227,54527,592.62,67,110280.384250725,3,22.3333333333333,96.5660963180453,1763,1110,27886,8343,19203,340,11387,9497
"Wrangell","Alaska",2127,2373,2556,30,56754.4364551678,1,30,0.832159624413146,86,38,730,171,526,33,650,378
"Yuma","Arizona",203881,197148,5519,15,1121343.86017717,8,1.875,36.941656097119,141015,117934,69881,32210,36534,1137,43682,30898
"Yavapai","Arizona",236209,210990,8128,15,1121343.86017717,8,1.875,29.0611466535433,36007,28698,143221,49602,91527,2092,80939,51151
"Pinal","Arizona",425264,379106,5374,15,1121343.86017717,8,1.875,79.133606252326,148976,108327,184974,75106,107077,2791,103815,52954
"Pima","Arizona",1043433,981649,9189,15,1121343.86017717,8,1.875,113.552399608227,403247,340154,520397,304981,207758,7658,221336,152253
"Navajo","Arizona",106717,107693,9959,15,1121343.86017717,8,1.875,10.7156340998092,13331,11661,51767,23383,27657,727,21896,14351
"Greenlee","Arizona",9563,8342,1848,15,1121343.86017717,8,1.875,5.17478354978355,4510,4003,3685,1182,2433,70,1291,1009
"Graham","Arizona",38533,37154,4641,15,1121343.86017717,8,1.875,8.30273647920707,13154,11328,14995,4034,10749,212,5598,4282
"Coconino","Arizona",145101,134624,18661,15,1121343.86017717,8,1.875,7.7756283157387,20819,18203,73272,44698,27052,1522,19744,12051
"Cross","Arkansas",16833,17868,622.33,75,63779.7490597246,2,37.5,27.0483505535648,355,274,6942,1772,4946,224,3095,2793
"Calhoun","Arkansas",4739,5361,632.54,75,63779.7490597246,2,37.5,7.49201631517374,225,157,2182,479,1636,67,1146,930
"Yuba","California",81575,72345,630,58,1463646.58867819,39,1.48717948717949,129.484126984127,23837,18181,29796,11230,17676,890,10646,7305
"Yolo","California",216403,201061,1012,58,1463646.58867819,39,1.48717948717949,213.836956521739,70598,61153,97294,67598,27292,2404,29180,19933
"Tulare","California",473117,442953,4824,58,1463646.58867819,39,1.48717948717949,98.0756633499171,309519,269133,146885,66105,77579,3201,55595,42015
"Trinity","California",16112,13755,3179,58,1463646.58867819,39,1.48717948717949,5.06826045926392,929,959,6259,2851,3188,220,3584,2767
"Tehama","California",65829,63562,2951,58,1463646.58867819,39,1.48717948717949,22.307353439512,17132,14008,28731,8911,19141,679,13076,10118
"Sutter","California",99633,94742,603,58,1463646.58867819,39,1.48717948717949,165.228855721393,30932,27348,42644,17367,24375,902,15597,12038
"Stanislaus","California",552878,515137,1495,58,1463646.58867819,39,1.48717948717949,369.818060200669,265852,216458,214954,105841,104145,4968,74916,55093
"Sonoma","California",488863,484675,1576,58,1463646.58867819,39,1.48717948717949,310.192258883249,135332,120937,268317,199938,61825,6554,103462,67893
"Siskiyou","California",44076,44941,6287,58,1463646.58867819,39,1.48717948717949,7.01065691108637,5811,4672,23472,9593,13290,589,11611,8809
"Sierra","California",3236,3220,953,58,1463646.58867819,39,1.48717948717949,3.39559286463798,373,274,1931,730,1142,59,908,676
"Shasta","California",182155,177277,3786,58,1463646.58867819,39,1.48717948717949,48.1127839408347,19479,14953,92930,30000,60789,2141,38146,30081
"Santa Cruz","California",270861,263174,446,58,1463646.58867819,39,1.48717948717949,607.311659192825,91666,84528,144837,114246,26937,3654,48696,29399
"Santa Barbara","California",448229,424218,2738,58,1463646.58867819,39,1.48717948717949,163.706720233747,206419,182307,200339,129963,65736,4640,71442,54573
"San Mateo","California",764442,719948,449,58,1463646.58867819,39,1.48717948717949,1702.5434298441,180184,183063,374251,291496,75584,7171,129480,96816
"San Luis Obispo","California",282424,269800,3304,58,1463646.58867819,39,1.48717948717949,85.4794188861985,65613,56107,159714,88310,67436,3968,60460,41258
